rc1,rc2,ic,run,mode,total_pallets,delivered,pending,total_delivery_time,avg_delivery,makespan,throughput,total_distance,battery_deaths,intermediate_received,intermediate_picked
5,14,5,2,ENHANCED,20,20,0,2271,113.55,302,0.0662,1049,0,7,7
5,14,5,3,ENHANCED,20,20,0,1958,97.90,322,0.0621,1068,0,8,8
5,14,7,1,ENHANCED,20,20,0,2317,115.85,305,0.0656,1135,0,6,6
5,14,7,2,ENHANCED,20,20,0,2530,126.50,319,0.0627,1111,0,8,8
5,14,7,3,ENHANCED,20,20,0,2211,110.55,349,0.0573,1162,0,7,7
5,14,10,1,ENHANCED,20,20,0,2414,120.70,323,0.0619,1149,0,7,7
5,14,10,2,ENHANCED,20,20,0,2458,122.90,324,0.0617,1179,0,10,10
5,14,10,3,ENHANCED,20,20,0,1927,96.35,327,0.0612,1157,0,9,9
5,14,13,1,ENHANCED,20,20,0,2184,109.20,304,0.0658,1077,0,9,9
5,14,13,2,ENHANCED,20,20,0,2588,129.40,327,0.0612,1191,0,11,11
5,14,13,3,ENHANCED,20,20,0,2012,100.60,371,0.0539,1239,0,9,9
5,14,15,1,ENHANCED,20,20,0,2575,128.75,336,0.0595,1248,0,9,9
5,14,15,2,ENHANCED,20,20,0,2428,121.40,323,0.0619,1192,0,11,11
5,14,15,3,ENHANCED,20,20,0,2181,109.05,371,0.0539,1286,0,8,8
5,16,5,1,ENHANCED,20,20,0,1907,95.35,273,0.0733,998,0,8,8
5,16,5,2,ENHANCED,20,20,0,2593,129.65,344,0.0581,1165,0,6,6
5,16,5,3,ENHANCED,20,20,0,1943,97.15,328,0.0610,1103,0,6,6
5,16,7,1,ENHANCED,20,20,0,2285,114.25,297,0.0673,1090,0,5,5
5,16,7,2,ENHANCED,20,20,0,2459,122.95,318,0.0629,1152,0,7,7
5,16,7,3,ENHANCED,20,20,0,2066,103.30,343,0.0583,1172,0,11,11
5,16,10,1,ENHANCED,20,20,0,2536,126.80,364,0.0549,1352,0,14,14
5,16,10,2,ENHANCED,20,20,0,3033,151.65,351,0.0570,1236,0,10,10
5,16,10,3,ENHANCED,20,20,0,2022,101.10,317,0.0631,1139,0,9,9
5,16,13,1,ENHANCED,20,20,0,2650,132.50,337,0.0593,1249,0,13,13
5,16,13,2,ENHANCED,20,20,0,2851,142.55,375,0.0533,1348,0,13,13
5,16,13,3,ENHANCED,20,20,0,2274,113.70,360,0.0556,1294,0,12,12
5,16,15,1,ENHANCED,20,20,0,2511,125.55,341,0.0587,1265,0,10,10
5,16,15,2,ENHANCED,20,20,0,2358,117.90,318,0.0629,1090,0,7,7
5,16,15,3,ENHANCED,20,20,0,2399,119.95,404,0.0495,1401,0,13,13
7,12,5,1,ENHANCED,20,20,0,2111,105.55,307,0.0651,1044,0,7,7
7,12,5,2,ENHANCED,20,20,0,2496,124.80,323,0.0619,1097,0,7,7
7,12,5,3,ENHANCED,20,20,0,1493,74.65,272,0.0735,980,0,5,5
7,12,7,1,ENHANCED,20,20,0,2241,112.05,305,0.0656,1084,0,6,6
7,12,7,2,ENHANCED,20,20,0,2346,117.30,314,0.0637,1114,0,9,9
7,12,7,3,ENHANCED,20,20,0,1800,90.00,320,0.0625,1104,0,9,9
7,12,10,1,ENHANCED,20,20,0,2531,126.55,349,0.0573,1204,0,11,11
7,12,10,2,ENHANCED,20,20,0,2246,112.30,297,0.0673,1037,0,8,8
7,12,10,3,ENHANCED,20,20,0,1858,92.90,324,0.0617,1140,0,10,10
7,12,13,1,ENHANCED,20,20,0,2401,120.05,335,0.0597,1157,0,9,9
7,12,13,2,ENHANCED,20,20,0,2673,133.65,342,0.0585,1212,0,11,11
7,12,13,3,ENHANCED,20,20,0,1980,99.00,339,0.0590,1190,0,10,10
7,12,15,1,ENHANCED,20,20,0,2862,143.10,378,0.0529,1383,0,14,14
7,12,15,2,ENHANCED,20,20,0,2608,130.40,336,0.0595,1233,0,12,12
7,12,15,3,ENHANCED,20,20,0,2385,119.25,395,0.0506,1451,0,14,14
7,14,5,1,ENHANCED,20,20,0,1958,97.90,285,0.0702,997,0,5,5
7,14,5,2,ENHANCED,20,20,0,2248,112.40,283,0.0707,1034,0,7,7
7,14,5,3,ENHANCED,20,20,0,1998,99.90,313,0.0639,1112,0,11,11
7,14,7,1,ENHANCED,20,20,0,2244,112.20,308,0.0649,1088,0,7,7
7,14,7,2,ENHANCED,20,20,0,2380,119.00,313,0.0639,1076,0,8,8
7,14,7,3,ENHANCED,20,20,0,2040,102.00,344,0.0581,1116,0,6,6
7,14,10,1,ENHANCED,20,20,0,2491,124.55,324,0.0617,1203,0,12,12
7,14,10,2,ENHANCED,20,20,0,2565,128.25,322,0.0621,1160,0,11,11
7,14,10,3,ENHANCED,20,20,0,2582,129.10,411,0.0487,1424,0,10,10
7,14,13,1,ENHANCED,20,20,0,2280,114.00,318,0.0629,1181,0,8,8
7,14,13,2,ENHANCED,20,20,0,2541,127.05,327,0.0612,1186,0,8,8
7,14,13,3,ENHANCED,20,20,0,1947,97.35,322,0.0621,1178,0,11,11
7,14,15,1,ENHANCED,20,20,0,2518,125.90,361,0.0554,1210,0,9,9
7,14,15,2,ENHANCED,20,20,0,2667,133.35,373,0.0536,1338,0,14,14
7,14,15,3,ENHANCED,20,20,0,2222,111.10,356,0.0562,1240,0,8,8
7,16,5,1,ENHANCED,20,20,0,2213,110.65,322,0.0621,1101,0,8,8
7,16,5,2,ENHANCED,20,20,0,2323,116.15,298,0.0671,1078,0,7,7
7,16,5,3,ENHANCED,20,20,0,1887,94.35,331,0.0604,1110,0,7,7
7,16,7,1,ENHANCED,20,20,0,2480,124.00,337,0.0593,1093,1,4,4
7,16,7,2,ENHANCED,20,20,0,2557,127.85,306,0.0654,1150,0,9,9
7,16,7,3,ENHANCED,20,20,0,1873,93.65,333,0.0601,1120,0,9,9
7,16,10,1,ENHANCED,20,20,0,2391,119.55,339,0.0590,1157,0,7,7
7,16,10,2,ENHANCED,20,20,0,2452,122.60,316,0.0633,1150,0,10,10
7,16,10,3,ENHANCED,20,20,0,1930,96.50,319,0.0627,1145,0,8,8
7,16,13,1,ENHANCED,20,20,0,2644,132.20,350,0.0571,1279,0,13,13
7,16,13,2,ENHANCED,20,20,0,2569,128.45,335,0.0597,1185,0,10,10
7,16,13,3,ENHANCED,20,20,0,2264,113.20,370,0.0541,1309,0,10,10
7,16,15,1,ENHANCED,20,20,0,2679,133.95,359,0.0557,1325,0,14,14
7,16,15,2,ENHANCED,20,20,0,2428,121.40,311,0.0643,1139,0,9,9
7,16,15,3,ENHANCED,20,20,0,2182,109.10,351,0.0570,1296,0,13,13
