phase,experiment,seed,mode,total_pallets,delivered,pending,total_delivery_time,avg_delivery,makespan,throughput,total_distance,battery_deaths,intermediate_received,intermediate_picked,conflicts,yields,relay_drops
P10,P10_breakeven_200,155,REFERENCE,200,200,0,4401,22.01,1449,0.1380,4273,0,0,0,0,0,0
P10,P10_breakeven_200,156,ENHANCED,200,200,0,44529,222.65,1816,0.1101,6989,0,37,37,61,61,37
P10,P10_breakeven_200,156,REFERENCE,200,200,0,4359,21.80,1461,0.1369,4276,0,0,0,0,0,0
P10,P10_breakeven_200,157,ENHANCED,200,200,0,46562,232.81,1846,0.1083,7029,0,37,37,70,70,37
P10,P10_breakeven_200,157,REFERENCE,200,190,0,4006,21.08,3999,0.0475,4006,0,0,0,0,0,0
P10,P10_breakeven_200,158,ENHANCED,200,200,0,47147,235.74,1853,0.1079,7091,0,44,44,59,59,44
P10,P10_breakeven_200,158,REFERENCE,200,194,0,4391,22.63,3999,0.0485,4164,0,0,0,0,0,0
P10,P10_breakeven_200,159,ENHANCED,200,200,0,47283,236.42,1860,0.1075,7100,0,49,49,84,84,49
P10,P10_breakeven_200,159,REFERENCE,200,195,0,4463,22.89,3999,0.0488,4185,0,0,0,0,0,0
P10,P10_breakeven_50,150,ENHANCED,50,50,0,4589,91.78,499,0.1002,1774,0,10,10,12,12,10
P10,P10_breakeven_50,150,REFERENCE,50,50,0,1045,20.90,329,0.1520,1037,0,0,0,0,0,0
P10,P10_breakeven_50,151,ENHANCED,50,50,0,4928,98.56,506,0.0988,1772,0,11,11,29,29,11
P10,P10_breakeven_50,151,REFERENCE,50,50,0,1016,20.32,329,0.1520,1037,0,0,0,0,0,0
P10,P10_breakeven_50,152,ENHANCED,50,50,0,4326,86.52,487,0.1027,1721,0,5,5,9,9,5
P10,P10_breakeven_50,152,REFERENCE,50,43,0,920,21.40,1999,0.0215,946,0,0,0,0,0,0
P10,P10_breakeven_50,153,ENHANCED,50,50,0,5014,100.28,508,0.0984,1812,0,14,14,22,22,14
P10,P10_breakeven_50,153,REFERENCE,50,50,0,1025,20.50,333,0.1502,1037,0,0,0,0,0,0
P10,P10_breakeven_50,154,ENHANCED,50,50,0,4528,90.56,486,0.1029,1745,0,9,9,11,11,9
P10,P10_breakeven_50,154,REFERENCE,50,50,0,1070,21.40,329,0.1520,1037,0,0,0,0,0,0
P10,P10_breakeven_50,155,ENHANCED,50,50,0,4280,85.60,487,0.1027,1734,0,6,6,11,11,6
P10,P10_breakeven_50,155,REFERENCE,50,50,0,1069,21.38,329,0.1520,1037,0,0,0,0,0,0
P10,P10_breakeven_50,156,ENHANCED,50,50,0,4689,93.78,499,0.1002,1785,0,10,10,23,23,10
P10,P10_breakeven_50,156,REFERENCE,50,50,0,1043,20.86,332,0.1506,1037,0,0,0,0,0,0
P10,P10_breakeven_50,157,ENHANCED,50,50,0,4319,86.38,485,0.1031,1708,0,7,7,18,18,7
P10,P10_breakeven_50,157,REFERENCE,50,50,0,1020,20.40,329,0.1520,1037,0,0,0,0,0,0
P10,P10_breakeven_50,158,ENHANCED,50,50,0,4216,84.32,507,0.0986,1745,0,6,6,17,17,6
P10,P10_breakeven_50,158,REFERENCE,50,48,0,1034,21.54,1999,0.0240,1015,0,0,0,0,0,0
P10,P10_breakeven_50,159,ENHANCED,50,50,0,4284,85.68,494,0.1012,1730,0,6,6,22,22,6
P10,P10_breakeven_50,159,REFERENCE,50,50,0,1066,21.32,342,0.1462,1039,0,0,0,0,0,0
P10,P10_breakeven_500,150,ENHANCED,500,500,0,267502,535.00,4504,0.1110,17527,0,95,95,162,162,95
P10,P10_breakeven_500,150,REFERENCE,500,300,0,6211,20.70,9999,0.0300,6345,0,0,0,0,0,0
P10,P10_breakeven_500,151,ENHANCED,500,500,0,279523,559.05,4563,0.1096,17615,0,98,98,193,193,98
P10,P10_breakeven_500,151,REFERENCE,500,365,0,7166,19.63,9999,0.0365,7790,0,0,0,0,0,0
P10,P10_breakeven_500,152,ENHANCED,500,500,0,284427,568.85,4596,0.1088,17673,0,102,102,175,175,102
P10,P10_breakeven_500,152,REFERENCE,500,431,0,9283,21.54,9999,0.0431,9388,0,0,0,0,0,0
P10,P10_breakeven_500,153,ENHANCED,500,500,0,268200,536.40,4540,0.1101,17626,0,98,98,173,173,98
P10,P10_breakeven_500,153,REFERENCE,500,500,0,10962,21.92,3342,0.1496,10567,0,0,0,0,0,0
P10,P10_breakeven_500,154,ENHANCED,500,500,0,288599,577.20,4587,0.1090,17757,0,116,116,177,177,116
P10,P10_breakeven_500,154,REFERENCE,500,489,0,10395,21.26,9999,0.0489,10384,0,0,0,0,0,0
P10,P10_breakeven_500,155,ENHANCED,500,500,0,278283,556.57,4541,0.1101,17601,0,105,105,171,171,105
P10,P10_breakeven_500,155,REFERENCE,500,500,0,10746,21.49,3342,0.1496,10565,0,0,0,0,0,0
P10,P10_breakeven_500,156,ENHANCED,500,500,0,274968,549.94,4551,0.1099,17572,0,99,99,180,180,99
P10,P10_breakeven_500,156,REFERENCE,500,441,0,9150,20.75,9999,0.0441,9292,0,0,0,0,0,0
P10,P10_breakeven_500,157,ENHANCED,500,500,0,275900,551.80,4567,0.1095,17707,0,110,110,192,192,110
P10,P10_breakeven_500,157,REFERENCE,500,500,0,10853,21.71,3348,0.1493,10570,0,0,0,0,0,0
P10,P10_breakeven_500,158,ENHANCED,500,500,0,259997,519.99,4492,0.1113,17439,0,94,94,155,155,94
P10,P10_breakeven_500,158,REFERENCE,500,500,0,10847,21.69,3342,0.1496,10567,0,0,0,0,0,0
P10,P10_breakeven_500,159,ENHANCED,500,500,0,275234,550.47,4580,0.1092,17763,0,120,120,192,192,120
P10,P10_breakeven_500,159,REFERENCE,500,371,0,7793,21.01,9999,0.0371,7839,0,0,0,0,0,0
P10,P10_bursty,150,ENHANCED,50,50,0,3994,79.88,467,0.1071,1702,0,6,6,14,14,6
P10,P10_bursty,150,REFERENCE,50,50,0,1019,20.38,329,0.1520,1037,0,0,0,0,0,0
P10,P10_bursty,151,ENHANCED,50,50,0,4128,82.56,470,0.1064,1711,0,9,9,13,13,9
P10,P10_bursty,151,REFERENCE,50,50,0,1030,20.60,329,0.1520,1037,0,0,0,0,0,0
P10,P10_bursty,152,ENHANCED,50,50,0,4637,92.74,489,0.1022,1757,0,12,12,13,13,12
P10,P10_bursty,152,REFERENCE,50,50,0,1027,20.54,336,0.1488,1037,0,0,0,0,0,0
P10,P10_bursty,153,ENHANCED,50,50,0,4493,89.86,478,0.1046,1739,0,7,7,29,29,7
P10,P10_bursty,153,REFERENCE,50,50,0,1095,21.90,333,0.1502,1037,0,0,0,0,0,0
P10,P10_bursty,154,ENHANCED,50,50,0,4116,82.32,490,0.1020,1727,0,8,8,11,11,8
P10,P10_bursty,154,REFERENCE,50,50,0,1122,22.44,357,0.1401,1036,0,0,0,0,0,0
P10,P10_bursty,155,ENHANCED,50,50,0,4637,92.74,511,0.0978,1774,0,10,10,17,17,10
P10,P10_bursty,155,REFERENCE,50,50,0,1171,23.42,329,0.1520,1037,0,0,0,0,0,0
P10,P10_bursty,156,ENHANCED,50,50,0,4190,83.80,482,0.1037,1713,0,8,8,14,14,8
P10,P10_bursty,156,REFERENCE,50,50,0,1060,21.20,329,0.1520,1037,0,0,0,0,0,0
P10,P10_bursty,157,ENHANCED,50,50,0,4001,80.02,474,0.1055,1688,0,5,5,6,6,5
P10,P10_bursty,157,REFERENCE,50,50,0,1068,21.36,331,0.1511,1036,0,0,0,0,0,0
P10,P10_bursty,158,ENHANCED,50,50,0,4247,84.94,481,0.1040,1719,0,6,6,11,11,6
P10,P10_bursty,158,REFERENCE,50,50,0,1013,20.26,329,0.1520,1037,0,0,0,0,0,0
P10,P10_bursty,159,ENHANCED,50,50,0,3897,77.94,468,0.1068,1690,0,6,6,12,12,6
P10,P10_bursty,159,REFERENCE,50,50,0,1027,20.54,329,0.1520,1036,0,0,0,0,0,0
P10,P10_crowded,150,ENHANCED,50,50,0,4523,90.46,504,0.0992,1753,0,8,8,18,18,8
P10,P10_crowded,150,REFERENCE,50,23,0,428,18.61,1999,0.0115,747,0,0,0,0,0,0
P10,P10_crowded,151,ENHANCED,50,50,0,4731,94.62,509,0.0982,1777,0,11,11,17,17,11
P10,P10_crowded,151,REFERENCE,50,40,0,1048,26.20,1999,0.0200,887,0,0,0,0,0,0
